,Common Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Subcontinents,Group name,Islands,Introduced Countries,Suborder,Oceans,SUBSPECIES OF,Subfamily,Subgenus,Tribe
0,andaman-cuckooshrike,Animalia,Chordata,Aves,,,,Passeriformes,Campephagidae,Coracina,Coracina dobsoni,Asia,India,,"Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Andaman_cuckooshrike,https://www.iucnredlist.org/species/103694300/118680469,https://xeno-canto.org/369128",https://animalia.bio/andaman-cuckooshrike/,,,,,,,,,,
0,andaman-drongo,Animalia,Chordata,Aves,,,,Passeriformes,Dicruridae,Dicrurus,Dicrurus andamanensis,Asia,"India,",,"Forest,Mountains",,,"https://en.wikipedia.org/wiki/Andaman_drongo,https://www.iucnredlist.org/species/22707002/118539254,https://xeno-canto.org/496190",https://animalia.bio/andaman-drongo/,,,,,,,,,,
0,andaman-flowerpecker,Animalia,Chordata,Aves,,,,Passeriformes,Dicaeidae,Dicaeum,Dicaeum virescens,,India,,Forest,,,https://en.wikipedia.org/wiki/Andaman_flowerpecker,https://animalia.bio/andaman-flowerpecker/,,,,,,,,,,
0,andaman-green-pigeon,Animalia,Chordata,Aves,,,,Columbiformes,Columbidae,Treron,Treron chloropterus,Asia,India,,Forest,,,"https://en.wikipedia.org/wiki/Andaman_green_pigeon,https://www.iucnredlist.org/species/22726279/118274190",https://animalia.bio/andaman-green-pigeon/,,,,,,,,,,
0,andaman-hawkowl,,,,,,,,,,,,,,,,,,https://animalia.bio/andaman-hawkowl/,,,,,,,,,,
0,andaman-masked-owl,,,,,,,,,,,,,,,,,,https://animalia.bio/andaman-masked-owl/,,,,,,,,,,
0,andaman-nightjar,Animalia,Chordata,Aves,,,,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus andamanicus,Asia,India,,"Freshwater,Forest,Savanna,Shrubland",,,"https://en.wikipedia.org/wiki/Andaman_nightjar,https://www.iucnredlist.org/species/22725716/94900705,https://xeno-canto.org/496071",https://animalia.bio/andaman-nightjar/,,,,,,,,,,
0,andaman-scops-owl,Animalia,Chordata,Aves,,,,Strigiformes,Strigidae,Otus,Otus balli,Asia,India,,"Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Andaman_scops_owl,https://www.iucnredlist.org/species/22688573/118257284,https://xeno-canto.org/496074",https://animalia.bio/andaman-scops-owl/,,,,,,,,,,
0,andaman-serpent-eagle,Animalia,Chordata,Aves,,,,Accipitriformes,Accipitridae,Spilornis,Spilornis elgini,Asia,India,,"Freshwater,Anthropogenic biome,Forest,Mangrove","Terrestrial, ,Oviparous, ,Altricial, ,Soaring",Not a migrant,"https://en.wikipedia.org/wiki/Andaman_serpent_eagle,https://www.iucnredlist.org/species/22695323/177646176",https://animalia.bio/andaman-serpent-eagle/,,,,,,,,,,
0,andaman-shama,,,,,,,,,,,,,,,,,,https://animalia.bio/andaman-shama/,,,,,,,,,,
0,andaman-teal,Animalia,Chordata,Aves,,,,Anseriformes,Anatidae,Anas,Anas albogularis,Asia,India,,"Freshwater,Forest,Wetlands","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Waterfowl",Not a migrant,"https://en.wikipedia.org/wiki/Andaman_teal,https://www.iucnredlist.org/species/22727280/110106998",https://animalia.bio/andaman-teal/,,,,,,,,,,
0,andaman-treepie,Animalia,Chordata,Aves,,,,Passeriformes,Corvidae,Dendrocitta,Dendrocitta bayleyii,Asia,India,,Forest,,,"https://en.wikipedia.org/wiki/Andaman_treepie,https://www.iucnredlist.org/species/22705852/118561208",https://animalia.bio/andaman-treepie/,,,,,,,,,,
0,andaman-wood-pigeon,Animalia,Chordata,Aves,,,,Columbiformes,Columbidae,Columba,Columba palumboides,Asia,India,,Forest,"Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Andaman_wood_pigeon,https://www.iucnredlist.org/species/22690201/118217922",https://animalia.bio/andaman-wood-pigeon/,,,,,,,,,,
0,andaman-woodpecker,Animalia,Chordata,Aves,,,,Piciformes,Picidae,Dryocopus,Dryocopus hodgei,Asia,India,,Forest,,,"https://en.wikipedia.org/wiki/Andaman_woodpecker,https://www.iucnredlist.org/species/22681379/118582685,https://xeno-canto.org/341306",https://animalia.bio/andaman-woodpecker/,,,,,,,,,,
0,andean-avocet,Animalia,Chordata,Aves,,,,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra andina,South America,"Chile,",,"Freshwater,Wetlands,Intertidal zone","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Partially migrant,"https://en.wikipedia.org/wiki/Andean_avocet,https://www.iucnredlist.org/species/22693724/93419285,https://xeno-canto.org/229044",https://animalia.bio/andean-avocet/,,,,,,,,,,
0,andean-cockoftherock,,,,,,,,,,,,,,,,,,https://animalia.bio/andean-cockoftherock/,,,,,,,,,,
0,andean-condor,Animalia,Chordata,Aves,,,,Accipitriformes,Cathartidae,Vultur,Vultur gryphus,South America,"Argentina,",,"Temperate grasslands,Desert,Intertidal zone,Shrubland,Coastal,Mountains,Grassland,Forest,Rocky areas,Montane grasslands and shrublands","Arboreal, ,Terrestrial, ,Predator, ,Altricial, ,Territorial, ,Congregatory, ,Oviparous, ,Soaring, ,Gliding",Altitudinal Migrant,"https://en.wikipedia.org/wiki/Andean_condor,https://www.iucnredlist.org/species/22697641/181325230,https://xeno-canto.org/586591",https://animalia.bio/andean-condor/,,"condo, scarcity",,,,,,,,
0,andean-coot,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Gruiformes,Rallidae,Fulica,Fulica ardesiaca,South America,"Ecuador,",,"Freshwater,Wetlands,Swamp","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial",Migrating,"https://en.wikipedia.org/wiki/Andean_coot,https://www.iucnredlist.org/species/22692932/93374813,https://xeno-canto.org/287581",https://animalia.bio/andean-coot/,,,,,,,,,,
0,andean-duck,,,,,,,,,,,,,,,,,,https://animalia.bio/andean-duck/,,,,,,,,,,
0,andean-emerald,Animalia,Chordata,Aves,,,,Apodiformes,Trochilidae,Amazilia,Uranomitra franciae,South America,"Ecuador,",,"Anthropogenic biome,Forest,Agricultural,Woodland,Shrubland",,,"https://en.wikipedia.org/wiki/Andean_emerald,https://www.iucnredlist.org/species/22687566/93158133",https://animalia.bio/andean-emerald/,,,,,,,,,,
0,andean-flamingo,Animalia,Chordata,Aves,,,,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus,Phoenicoparrus andinus,South America,"Argentina,",,"Lakes,Wetlands,Brackish water,Mountains,Temporary pools,Freshwater,Anthropogenic biome,Bog","Semiaquatic,  ,Wading birds, ,Soaring birds, ,Shorebirds, ,Nomadic, ,Terrestrial, ,Congregatory, ,Oviparous, ,Precocial",Migrating,"https://en.wikipedia.org/wiki/Andean_flamingo,http://www.iucnredlist.org/details/22697387/0,https://xeno-canto.org/272585",https://animalia.bio/andean-flamingo/,,"colony, flamboyance, stand, regiment",,,,,,,,
0,andean-flicker,Animalia,Chordata,Aves,,,,Piciformes,Picidae,Colaptes,Colaptes rupicola,South America,"Chile,",,"Forest,Grassland,Shrubland,Agricultural,Anthropogenic biome,Woodland,Mountains,Rocky areas,Tundra","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/Andean_flicker,https://www.iucnredlist.org/species/22726426/112111487,https://xeno-canto.org/695131",https://animalia.bio/andean-flicker/,,,,,,,,,,
0,andean-goose,Animalia,Chordata,Aves,,,,Anseriformes,Anatidae,Chloephaga,Neochen melanoptera,South America,"Chile,",,"Freshwater,Wetlands,Marsh",,,"https://en.wikipedia.org/wiki/Andean_goose,https://www.iucnredlist.org/species/22679972/92836647",https://animalia.bio/andean-goose/,,,,,,,,,,
0,andean-guan,Animalia,Chordata,Aves,,,,Galliformes,Cracidae,Penelope,Penelope montagnii,South America,"Ecuador,",,"Anthropogenic biome,Forest","Terrestrial, ,Oviparous, ,Precocial",Not a migrant,"https://en.wikipedia.org/wiki/Andean_guan,https://www.iucnredlist.org/species/22678364/92769891,https://xeno-canto.org/558173",https://animalia.bio/andean-guan/,,,,,,,,,,
0,andean-gull,,,,,,,,,,,,,,,,,,https://animalia.bio/andean-gull/,,,,,,,,,,
0,andean-hillstar,Animalia,Chordata,Aves,,,,Apodiformes,Trochilidae,Oreotrochilus,Oreotrochilus estella,South America,"Chile,",,"Forest,Grassland,Shrubland,Caves and Subterranean Habitats,Woodland",,,"https://en.wikipedia.org/wiki/Andean_hillstar,https://www.iucnredlist.org/species/60946163/95164560,https://xeno-canto.org/492182",https://animalia.bio/andean-hillstar/,,,,,,,,,,
0,andean-ibis,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Pelecaniformes,Threskiornithidae,Theristicus,Theristicus branickii,South America,"Ecuador,",,Grassland,"Terrestrial, ,Congregatory, ,Oviparous, ,Precocial",Not a migrant,"https://en.wikipedia.org/wiki/Andean_ibis,https://www.iucnredlist.org/species/22697444/112401898,https://xeno-canto.org/257338",https://animalia.bio/andean-ibis/,,,,,,,,,,
0,andean-laniisoma,,,,,,,,,,,,,,,,,,https://animalia.bio/andean-laniisoma/,,,,,,,,,,
0,andean-lapwing,Animalia,Chordata,Aves,,,,Charadriiformes,Charadriidae,Vanellus,Vanellus resplendens,South America,"Ecuador,",,"Freshwater,Anthropogenic biome,Grassland,Wetlands,Agricultural,Swamp","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Partially migrant,"https://en.wikipedia.org/wiki/Andean_lapwing,https://www.iucnredlist.org/species/22694078/93437324,https://xeno-canto.org/498314",https://animalia.bio/andean-lapwing/,,,,,,,,,,
0,andean-motmot,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Coraciiformes,Momotidae,Momotus,Momotus aequatorialis,South America,"Ecuador,",,"Anthropogenic biome,Forest,Mountains","Terrestrial, ,Oviparous, ,Burrowing",Not a migrant,"https://en.wikipedia.org/wiki/Andean_motmot,https://www.iucnredlist.org/species/22729189/95009151,https://xeno-canto.org/456664",https://animalia.bio/andean-motmot/,,,,,,,,,,
0,andean-negrito,Animalia,Chordata,Aves,,,,Passeriformes,Tyrannidae,Lessonia,Lessonia oreas,South America,"Chile,",,"Freshwater,Grassland,Wetlands,Mountains,Rocky areas,Bog","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Andean_negrito,https://www.iucnredlist.org/species/22700213/93764187,https://xeno-canto.org/41048",https://animalia.bio/andean-negrito/,,,,,,,,,,
0,andean-parakeet,Animalia,Chordata,Aves,,,,Psittaciformes,Psittacidae,Bolborhynchus,Bolborhynchus orbygnesius,South America,"Bolivia,",,"Forest,Shrubland,Mountains",,,"https://en.wikipedia.org/wiki/Andean_parakeet,https://www.iucnredlist.org/species/22685916/93092059,https://xeno-canto.org/296534",https://animalia.bio/andean-parakeet/,,,,,,,,,,
0,andean-potoo,Animalia,Chordata,Aves,,,,Caprimulgiformes,Nyctibiidae,Nyctibius,Nyctibius maculosus,South America,"Ecuador,",,"Forest,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Andean_potoo,https://www.iucnredlist.org/species/22689650/93241540,https://xeno-canto.org/589823",https://animalia.bio/andean-potoo/,,,,,,,,,,
0,andean-pygmy-owl,Animalia,Chordata,Aves,,,,Strigiformes,Strigidae,Glaucidium,Glaucidium jardinii,South America,"Ecuador,",,"Forest,Shrubland,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Andean_pygmy_owl,https://www.iucnredlist.org/species/22689222/93223061,https://xeno-canto.org/635371",https://animalia.bio/andean-pygmy-owl/,,,,,,,,,,
0,andean-siskin,Animalia,Chordata,Aves,,,,Passeriformes,Fringillidae,Spinus,Spinus spinescens,South America,"Ecuador,",,"Anthropogenic biome,Forest,Grassland,Shrubland,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Andean_siskin,https://www.iucnredlist.org/species/22720365/132137606,https://xeno-canto.org/220461",https://animalia.bio/andean-siskin/,,,,,,,,Carduelinae,,
0,andean-slaty-thrush,Animalia,Chordata,Aves,,,,Passeriformes,Turdidae,Turdus,Turdus nigriceps,South America,"Ecuador,",,"Anthropogenic biome,Forest,Wetlands,Mountains",,,"https://en.wikipedia.org/wiki/Andean_slaty_thrush,https://www.iucnredlist.org/species/22708858/112412606,https://xeno-canto.org/609791",https://animalia.bio/andean-slaty-thrush/,,,,,,,,,,
0,andean-solitaire,Animalia,Chordata,Aves,,,,Passeriformes,Turdidae,Myadestes,Myadestes ralloides,South America,"Ecuador,",,"Anthropogenic biome,Forest,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Andean_solitaire,https://www.iucnredlist.org/species/22708605/94167837,https://xeno-canto.org/698103",https://animalia.bio/andean-solitaire/,,,,,,,,,,
0,andean-swallow,Animalia,Chordata,Aves,,,,Passeriformes,Hirundinidae,Orochelidon,Haplochelidon andecola,South America,"Chile,",,"Freshwater,Anthropogenic biome,Grassland,Rocky areas,Shrubland,Wetlands","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Andean_swallow,https://www.iucnredlist.org/species/22712419/118844823,https://xeno-canto.org/498663",https://animalia.bio/andean-swallow/,,,,,,,,,,
0,andean-swift,Animalia,Chordata,Aves,,,,Apodiformes,Apodidae,Aeronautes,Aeronautes andecolus,South America,"Chile,",,Shrubland,,,"https://en.wikipedia.org/wiki/Andean_swift,https://www.iucnredlist.org/species/22686739/93124777,https://xeno-canto.org/708139",https://animalia.bio/andean-swift/,,,,,,,,,,
0,andean-teal,Animalia,Chordata,Aves,,,,Anseriformes,Anatidae,Anas,Anas andium,South America,"Ecuador,",,"Freshwater,Wetlands","Oviparous, ,Precocial, ,Waterfowl",Not a migrant,"https://en.wikipedia.org/wiki/Andean_teal,https://www.iucnredlist.org/species/22735557/95114680,https://xeno-canto.org/354305",https://animalia.bio/andean-teal/,,,,,,,,,,
0,andean-tinamou,Animalia,Chordata,Aves,,,,Struthioniformes,Tinamidae,Nothoprocta,Nothoprocta pentlandii,South America,"Ecuador,",,"Anthropogenic biome,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Andean_tinamou,https://www.iucnredlist.org/species/22678259/92763713,https://xeno-canto.org/296684",https://animalia.bio/andean-tinamou/,,,,,,,,,,
0,andean-titspinetail,,,,,,,,,,,,,,,,,,https://animalia.bio/andean-titspinetail/,,,,,,,,,,
0,angolan-batis,Animalia,Chordata,Aves,,,,Passeriformes,Platysteiridae,Batis,Batis minulla,Africa,"Angola,",,"Anthropogenic biome,Forest,Agricultural,Woodland,Savanna,Shrubland",,,"https://en.wikipedia.org/wiki/Angolan_batis,https://www.iucnredlist.org/species/22707920/94142061,https://xeno-canto.org/699965",https://animalia.bio/angolan-batis/,,,,,,,,,,
0,angolan-cave-chat,Animalia,Chordata,Aves,,,,Passeriformes,Muscicapidae,Xenocopsychus,Cossypha ansorgei,Africa,"Angola,",,"Caves and Subterranean Habitats,Forest,Rocky areas,Savanna,Shrubland",,,"https://en.wikipedia.org/wiki/Angolan_cave_chat,https://www.iucnredlist.org/species/22709858/132083280",https://animalia.bio/angolan-cave-chat/,,,,,,,,,,
0,angolan-lark,Animalia,Chordata,Aves,,,,Passeriformes,Alaudidae,Mirafra,Mirafra angolensis,Africa,"Angola,",,Grassland,,,"https://en.wikipedia.org/wiki/Angolan_lark,https://www.iucnredlist.org/species/22717064/94519842,https://xeno-canto.org/509023",https://animalia.bio/angolan-lark/,,,,,,,,,,
0,angolan-slaty-flycatcher,Animalia,Chordata,Aves,,,,Passeriformes,Muscicapidae,Melaenornis,Melaenornis brunneus,Africa,Angola,,"Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Angolan_slaty_flycatcher,https://www.iucnredlist.org/species/22709073/94191140,https://xeno-canto.org/699987",https://animalia.bio/angolan-slaty-flycatcher/,,,,,,,,,,
0,angolan-swallow,Animalia,Chordata,Aves,,,,Passeriformes,Hirundinidae,Hirundo,Hirundo angolensis,Africa,"Angola,",,"Freshwater,Anthropogenic biome,Forest,Grassland,Savanna,Shrubland,Wetlands",,,"https://en.wikipedia.org/wiki/Angolan_swallow,https://www.iucnredlist.org/species/22712272/94326670,https://xeno-canto.org/490952",https://animalia.bio/angolan-swallow/,,,,,,,,,,
0,angolan-waxbill,Animalia,Chordata,Aves,,,,Passeriformes,Estrildidae,Coccopygia,Coccopygia bocagei,Africa,Angola,,"Anthropogenic biome,Grassland,Shrubland",,,"https://en.wikipedia.org/wiki/Angolan_waxbill,https://www.iucnredlist.org/species/103815110/104209120",https://animalia.bio/angolan-waxbill/,,,,,,,,,,
0,anhinga,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Suliformes,Anhingidae,Anhinga,Anhinga anhinga,"South America,","Central America,",,"Lakes,Rivers,Wetlands,Coastal,Estuaries,Riparian,Freshwater,Swamp","Semiaquatic, ,Altricial, ,Predator, ,Soaring birds, ,Natatorial, ,Territorial, ,Terrestrial, ,Oviparous","Partially migrant, ,Not a migrant","https://en.wikipedia.org/wiki/Anhinga,http://www.iucnredlist.org/details/22696702/0,https://xeno-canto.org/705562",https://animalia.bio/anhinga/,North America,,,,,,,,,
0,anianiau,Animalia,Chordata,Aves,,,,Passeriformes,Fringillidae,Magumma,Magumma parva,North America,United States,Hawaiian Is.,Forest,"Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/ʻAnianiau,https://www.iucnredlist.org/species/22720774/94682556,https://xeno-canto.org/210206",https://animalia.bio/anianiau/,,,,,,,,,,
0,anjouan-brush-warbler,Animalia,Chordata,Aves,,,,Passeriformes,Acrocephalidae,Nesillas,Nesillas longicaudata,Africa,"Comoros,",,"Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Anjouan_brush_warbler,https://www.iucnredlist.org/species/103778700/94421977,https://xeno-canto.org/403506",https://animalia.bio/anjouan-brush-warbler/,,,,,,,,,,
0,anjouan-scops-owl,Animalia,Chordata,Aves,,,,Strigiformes,Strigidae,Otus,Otus capnodes,Africa,Comoros,,"Anthropogenic biome,Forest,Agricultural",,,"https://en.wikipedia.org/wiki/Anjouan_scops_owl,https://www.iucnredlist.org/species/22688686/119090936,https://xeno-canto.org/403495",https://animalia.bio/anjouan-scops-owl/,,,,,,,,,,
0,anjouan-sunbird,Animalia,Chordata,Aves,,,,Passeriformes,Nectariniidae,Cinnyris,Cinnyris comorensis,Africa,Comoros,,"Forest,Shrubland,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Anjouan_sunbird,https://www.iucnredlist.org/species/22717817/94553660",https://animalia.bio/anjouan-sunbird/,,,,,,,,,,
0,ankober-serin,Animalia,Chordata,Aves,,,,Passeriformes,Fringillidae,Crithagra,Crithagra ankoberensis,Africa,Ethiopia,,"Anthropogenic biome,Grassland,Rocky areas",,,"https://en.wikipedia.org/wiki/Ankober_serin,https://www.iucnredlist.org/species/22720246/130904034",https://animalia.bio/ankober-serin/,,,,,,,,,,
0,annam-prinia,Animalia,Chordata,Aves,,,,Passeriformes,Cisticolidae,Prinia,Prinia rocki,,"Cambodia,",,Mountains,,,https://en.wikipedia.org/wiki/Annam_prinia,https://animalia.bio/annam-prinia/,,,,,,,,,,
0,annas-hummingbird,Animalia,Chordata,Aves,,,,Apodiformes,Trochilidae,Calypte,Calypte anna,North America,"Canada,",,"Temperate broadleaf and mixed forest,Temperate grasslands,Mediterranean forests, woodlands, and scrub,Urban wildlife,Shrubland,Agricultural,Anthropogenic biome,Forest,Suburban,Savanna,Desert,Mountains,Сhaparral","Arboreal, ,Altricial, ,Terrestrial, ,Territorial, ,Oviparous, ,Torpor","Partially migrant, ,Migrating","https://en.wikipedia.org/wiki/Anna%27s_hummingbird,https://www.iucnredlist.org/species/22688199/93186783,https://xeno-canto.org/701552",https://animalia.bio/annas-hummingbird/,,"charm, glittering, shimmer, tune, bouquet, hover",,,,,,,,
0,annobón-paradise-flycatcher,,,,,,,,,,,,,,,,,,https://animalia.bio/annobón-paradise-flycatcher/,,,,,,,,,,
0,annobón-whiteeye,,,,,,,,,,,,,,,,,,https://animalia.bio/annobón-whiteeye/,,,,,,,,,,
0,ansorges-greenbul,Animalia,Chordata,Aves,,,,Passeriformes,Pycnonotidae,Eurillas,Eurillas ansorgei,Africa,"Equatorial Guinea,",,Forest,,,"https://en.wikipedia.org/wiki/Ansorge's_greenbul,https://www.iucnredlist.org/species/22712782/131965929,https://xeno-canto.org/664960",https://animalia.bio/ansorges-greenbul/,,,,,,,,,,
0,antarctic-petrel,Animalia,Chordata,Aves,,,,Procellariiformes,Procellariidae,Thalassoica,Thalassoica antarctica,"Antarctica,",South America,"Australia,","Neritic zone,Oceanic pelagic zone,Coastal,Marine","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Soaring, ,Seabird",Migrating,"https://en.wikipedia.org/wiki/Antarctic_petrel,https://www.iucnredlist.org/species/22697875/132610289,https://xeno-canto.org/305318",https://animalia.bio/antarctic-petrel/,,,"Chile,",,,,,,,
0,antarctic-prion,Animalia,Chordata,Aves,,,,Procellariiformes,Procellariidae,Pachyptila,Pachyptila desolata,"Antarctica,","South America,",Africa,"Grassland,Intertidal zone,Neritic zone,Oceanic pelagic zone,Rocky areas,Coastal,Marine","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Soaring, ,Seabird",Migrating,"https://en.wikipedia.org/wiki/Antarctic_prion,https://www.iucnredlist.org/species/22698114/132626218,https://xeno-canto.org/622658",https://animalia.bio/antarctic-prion/,,,"Australia,",,,,,,,
0,antarctic-shag,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Suliformes,Phalacrocoracidae,Leucocarbo,Leucocarbo bransfieldensis,,,,"Neritic zone,Rocky areas","Oviparous, ,Gliding",,https://en.wikipedia.org/wiki/Antarctic_shag,https://animalia.bio/antarctic-shag/,,,,,,,,,,
0,antarctic-tern,Animalia,Chordata,Aves,,,,Charadriiformes,Laridae,Sterna,Sterna vittata,"Antarctica,","South America,",Africa,"Intertidal zone,Neritic zone,Rocky areas,Coastal,Marine","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Soaring,  ,Seabird",Migrating,"https://en.wikipedia.org/wiki/Antarctic_tern,https://www.iucnredlist.org/species/22694635/155620911,https://xeno-canto.org/415431",https://animalia.bio/antarctic-tern/,,,"Australia,",,,,,,,
0,anteater-chat,Animalia,Chordata,Aves,,,,Passeriformes,Muscicapidae,Myrmecocichla,Myrmecocichla aethiops,Africa,"Burkina Faso,",,"Anthropogenic biome,Grassland,Savanna","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Anteater_chat,https://www.iucnredlist.org/species/22710400/132087979,https://xeno-canto.org/533844",https://animalia.bio/anteater-chat/,,,,,,,,,,
0,anteating-chat,,,,,,,,,,,,,,,,,,https://animalia.bio/anteating-chat/,,,,,,,,,,
0,anthonys-nightjar,Animalia,Chordata,Aves,,,,Caprimulgiformes,Caprimulgidae,Nyctidromus,Nyctidromus anthonyi,South America,"Ecuador,",,"Grassland,Shrubland",,,"https://en.wikipedia.org/wiki/Anthony's_nightjar,https://www.iucnredlist.org/species/22689855/93249945,https://xeno-canto.org/264448",https://animalia.bio/anthonys-nightjar/,,,,,,,,,,
0,antillean-crested-hummingbird,Animalia,Chordata,Aves,,,,Apodiformes,Trochilidae,Orthorhyncus,Orthorhyncus cristatus,North America,"Antigua and Barbuda,","Barbados,","Anthropogenic biome,Forest,Shrubland,Agricultural,Mountains","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Antillean_crested_hummingbird,https://www.iucnredlist.org/species/22687164/93143236,https://xeno-canto.org/589872",https://animalia.bio/antillean-crested-hummingbird/,,,"Dominica,",,,,,,,
0,antillean-euphonia,Animalia,Chordata,Aves,,,,Passeriformes,Fringillidae,Euphonia,Euphonia musica,North America,Dominican Republic,Haiti,"Anthropogenic biome,Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Antillean_euphonia,https://www.iucnredlist.org/species/103868399/111175216,https://xeno-canto.org/451062",https://animalia.bio/antillean-euphonia/,,,,,,,,,,
0,antillean-mango,Animalia,Chordata,Aves,,,,Apodiformes,Trochilidae,Anthracothorax,Anthracothorax dominicus,North America,Dominican Republic,Haiti,"Anthropogenic biome,Forest,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Antillean_mango,https://www.iucnredlist.org/species/22725737/94901288",https://animalia.bio/antillean-mango/,,,,,,,,,,
0,antillean-nighthawk,Animalia,Chordata,Aves,,,,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles gundlachii,North America,"Antigua and Barbuda,","Bahamas,","Anthropogenic biome,Grassland,Shrubland,Agricultural,Forest","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Antillean_nighthawk,https://www.iucnredlist.org/species/22689717/168858532,https://xeno-canto.org/331765",https://animalia.bio/antillean-nighthawk/,,,,,,,,,,
0,antillean-palm-swift,Animalia,Chordata,Aves,,,,Apodiformes,Apodidae,Tachornis,Tachornis phoenicobia,North America,"Cuba,","Dominican Republic,","Anthropogenic biome,Grassland",,,"https://en.wikipedia.org/wiki/Antillean_palm_swift,https://www.iucnredlist.org/species/22686742/93124942",https://animalia.bio/antillean-palm-swift/,,,,,,,,,,
0,antillean-piculet,Animalia,Chordata,Aves,,,,Piciformes,Picidae,Nesoctites,Nesoctites micromegas,North America,Dominican Republic,Haiti,"Anthropogenic biome,Forest,Shrubland,Agricultural,Mangrove",,,"https://en.wikipedia.org/wiki/Antillean_piculet,https://www.iucnredlist.org/species/22680795/92878760,https://xeno-canto.org/205979",https://animalia.bio/antillean-piculet/,,,,,,,,,,
0,antillean-siskin,Animalia,Chordata,Aves,,,,Passeriformes,Fringillidae,Spinus,Spinus dominicensis,North America,Dominican Republic,Haiti,"Forest,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Antillean_siskin,https://www.iucnredlist.org/species/22720416/94669938,https://xeno-canto.org/308655",https://animalia.bio/antillean-siskin/,,,,,,,,Carduelinae,,
0,antioquia-bristle-tyrant,Animalia,Chordata,Aves,,,,Passeriformes,Tyrannidae,Pogonotriccus,Pogonotriccus lanyoni,South America,Colombia,,Forest,,,"https://en.wikipedia.org/wiki/Antioquia_bristle_tyrant,https://www.iucnredlist.org/species/22699469/93732938,https://xeno-canto.org/504528",https://animalia.bio/antioquia-bristle-tyrant/,,,,,,,,,,
0,antioquia-brushfinch,Animalia,Chordata,Aves,,,,Passeriformes,Passerellidae,Atlapetes,Atlapetes blancae,South America,Colombia,,"Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Antioquia_brushfinch,https://www.iucnredlist.org/species/22735460/154909098",https://animalia.bio/antioquia-brushfinch/,,,,,,,,,,
0,antioquia-wren,Animalia,Chordata,Aves,,,,Passeriformes,Troglodytidae,Thryophilus,Thryophilus sernai,South America,Colombia,,Forest,,,"https://en.wikipedia.org/wiki/Antioquia_wren,https://www.iucnredlist.org/species/103889265/112413460",https://animalia.bio/antioquia-wren/,,,,,,,,,,
