,Common Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Subcontinents,Group name,Islands,Introduced Countries,Suborder,Oceans,SUBSPECIES OF,Subfamily,Subgenus,Tribe
0,african-collared-dove,Animalia,Chordata,Aves,,,,Columbiformes,Columbidae,Streptopelia,Streptopelia roseogrisea,"Africa,",Asia,,"Agricultural,Anthropogenic biome,Forest,Grassland,Shrubland,Savanna",,,"https://en.wikipedia.org/wiki/African_collared_dove,https://www.iucnredlist.org/species/22690515/133401762,https://xeno-canto.org/566161",https://animalia.bio/african-collared-dove/,,,,"Egypt,",,,,,,
0,african-crake,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Gruiformes,Rallidae,Crex,Crecopsis egregia,Africa,"Equatorial Guinea,","South Africa,","Freshwater,Anthropogenic biome,Grassland,Savanna,Wetlands,Agricultural,Forest,Woodland,Rainforest,Shrubland,Marsh",,,"https://en.wikipedia.org/wiki/African_crake,https://www.iucnredlist.org/species/22692539/93357762",https://animalia.bio/african-crake/,,,,,,,,,,
0,african-crimsonwinged-finch,,,,,,,,,,,,,,,,,,https://animalia.bio/african-crimsonwinged-finch/,,,,,,,,,,
0,african-cuckoo,Animalia,Chordata,Aves,,,,Cuculiformes,Cuculidae,Cuculus,Cuculus gularis,Africa,"South Africa,","Angola,","Freshwater,Grassland,Savanna,Shrubland,Forest,Woodland","Terrestrial, ,Oviparous, ,Altricial, ,Territorial",Migrating,"https://en.wikipedia.org/wiki/African_cuckoo,https://www.iucnredlist.org/species/22683879/93005480,https://xeno-canto.org/682084",https://animalia.bio/african-cuckoo/,,,,,,,,,,
0,african-cuckoohawk,,,,,,,,,,,,,,,,,,https://animalia.bio/african-cuckoohawk/,,,,,,,,,,
0,african-darter,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Suliformes,Anhingidae,Anhinga,Anhinga rufa,"Africa,",Asia,"Equatorial Guinea,","Freshwater,Forest,Neritic zone,Wetlands,Coastal,Anthropogenic biome,Marine,Marsh","Terrestrial, ,Congregatory, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_darter,https://www.iucnredlist.org/species/22696705/110665322,https://xeno-canto.org/615905",https://animalia.bio/african-darter/,,,,,,,,,,
0,african-desert-warbler,Animalia,Chordata,Aves,,,,Passeriformes,Sylviidae,Sylvia,Curruca deserti,Africa,"Algeria,",,"Desert,Grassland,Shrubland,Mountains",,,"https://en.wikipedia.org/wiki/African_desert_warbler,https://www.iucnredlist.org/species/22734413/111152386",https://animalia.bio/african-desert-warbler/,,,,,,,,,,
0,african-dusky-flycatcher,Animalia,Chordata,Aves,,,,Passeriformes,Muscicapidae,Muscicapa,Muscicapa adusta,Africa,"Equatorial Guinea,","South Africa,","Anthropogenic biome,Forest,Savanna,Shrubland,Agricultural,Woodland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_dusky_flycatcher,https://www.iucnredlist.org/species/22709255/94199622,https://xeno-canto.org/682079",https://animalia.bio/african-dusky-flycatcher/,,,,,,,,,,
0,african-dwarf-kingfisher,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Coraciiformes,Alcedinidae,Ispidina,Ispidina lecontei,Africa,"Equatorial Guinea,",,"Freshwater,Anthropogenic biome,Forest,Wetlands,Rainforest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_dwarf_kingfisher,https://www.iucnredlist.org/species/22683174/92977587",https://animalia.bio/african-dwarf-kingfisher/,,,,,Alcedini,,,,,
0,african-emerald-cuckoo,Animalia,Chordata,Aves,,,,Cuculiformes,Cuculidae,Chrysococcyx,Chrysococcyx cupreus,Africa,"Equatorial Guinea,","South Africa,","Freshwater,Forest,Savanna,Shrubland,Riparian","Terrestrial, ,Oviparous, ,Altricial",Migrating,"https://en.wikipedia.org/wiki/African_emerald_cuckoo,https://www.iucnredlist.org/species/22684021/111721716,https://xeno-canto.org/615910",https://animalia.bio/african-emerald-cuckoo/,,,,,,,,,,
