,Common Name,Animalia_Link,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Ref,Introduced Countries,Regions,Lifestyle,Seasonal behavior,Subfamily,Subclass,Infraclass,Superorder,Subcontinents,Group name,Suborder,Oceans,Islands,Tribe,Seas
0,cobbs-wren,https://animalia.bio/cobbs-wren/,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes cobbi,South America,,"Grassland,Rocky areas","https://en.wikipedia.org/wiki/Cobb's_wren,https://www.iucnredlist.org/species/22724382/119150856,https://xeno-canto.org/254444",,Falkland Islands,,,,,,,,,,,,,
0,cocha-antshrike,https://animalia.bio/cocha-antshrike/,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus praecox,South America,Ecuador,"Freshwater,Forest,Wetlands,Swamp","https://en.wikipedia.org/wiki/Cocha_antshrike,https://www.iucnredlist.org/species/22701299/118626372,https://xeno-canto.org/528982",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,cochabamba-mountain-finch,https://animalia.bio/cochabamba-mountain-finch/,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Poospiza,Poospiza garleppi,South America,Bolivia,"Anthropogenic biome,Forest,Shrubland,Woodland,Mountains","https://en.wikipedia.org/wiki/Cochabamba_mountain_finch,https://www.iucnredlist.org/species/22723269/131323990",,,,,,,,,,,,,,,
0,cockatiel,https://animalia.bio/cockatiel/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,cockerells-fantail,https://animalia.bio/cockerells-fantail/,Animalia,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura cockerelli,,"Papua New Guinea,","Anthropogenic biome,Forest","https://en.wikipedia.org/wiki/Cockerell's_fantail,https://www.iucnredlist.org/species/103709333/112342825,https://xeno-canto.org/543617",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,cocktailed-tyrant,https://animalia.bio/cocktailed-tyrant/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,cocoa-thrush,https://animalia.bio/cocoa-thrush/,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus fumigatus,"South America,",North America,"Freshwater,Anthropogenic biome,Forest,Savanna,Wetlands","https://en.wikipedia.org/wiki/Cocoa_thrush,https://www.iucnredlist.org/species/22708908/94184107,https://xeno-canto.org/694221",,"Antigua and Barbuda,","Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,cocoa-woodcreeper,https://animalia.bio/cocoa-woodcreeper/,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Xiphorhynchus,Xiphorhynchus susurrans,"South America,",North America,"Anthropogenic biome,Forest,Shrubland","https://en.wikipedia.org/wiki/Cocoa_woodcreeper,https://www.iucnredlist.org/species/22729055/138229608,https://xeno-canto.org/679700",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,cocoi-heron,https://animalia.bio/cocoi-heron/,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cocoi,"South America,",North America,"Freshwater,Wetlands,Agricultural,Anthropogenic biome,Estuaries,Forest,Grassland,Swamp","https://en.wikipedia.org/wiki/Cocoi_heron,https://www.iucnredlist.org/species/22697001/93597705,https://xeno-canto.org/667282",,"Trinidad and Tobago,","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Altricial, ,Soaring, ,Wading bird",Not a migrant,,Neornithes,Neognathae,Neoaves,,,,,,,
0,coconut-lorikeet,https://animalia.bio/coconut-lorikeet/,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus haematodus,Asia,"Papua New Guinea,","Anthropogenic biome,Forest,Shrubland,Wetlands,Agricultural,Rainforest,Woodland,Savanna,Swamp","https://en.wikipedia.org/wiki/Coconut_lorikeet,https://www.iucnredlist.org/species/22725310/132177469,https://xeno-canto.org/631666","Solomon Islands,","Vanuatu,","Terrestrial, ,Oviparous, ,Arboreal",Not a migrant,,,,,,,,,,,
0,cocos-cuckoo,https://animalia.bio/cocos-cuckoo/,,,,,,,,,,,,,,,,,,,,,,,,,,
