,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,conservation status,ecomorphological guild,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,geographic distribution includes,habitat,population trend,biogeographic realm,body mass,foraging habitat,life span,trophic guild,weight,host of,eats,ecoregion,type specimen repository,body shape,diet includes,mating system,native range includes,parental care,social system,preys on,number of public records in bold,behavioral circadian rhythm,bill length,genome size,tarsus length,temperature at range midpoint latitude,basal metabolic rate,litters per year,prenatal development duration,body temperature,parasitized by,middle toe length,has ectoparasite,is vector for,growth rate,onset of fertility,has endoparasite,visits flowers of,motility,sensory system,is eaten by,preyed upon by,used for,tarsometatarsus + middle toe length,body length,pathogen of,has host,initial mortality rate,mortality rate doubling time,symbiont of,clutch/brood/litter size,egg mass,has pathogen,harvested in,mutualistic with,mineralized tissue contains,reproduction,standard length,water depth,Total length,parasite of,trophic level,visits,is killed by,invasive in
0,African black swift,Animalia,Chordata,Aves,https://eol.org/pages/1048572,Apus barbatus (African Black Swift) is a species of birds in the family swifts. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,South Atlantic,"mountain,terrestrial",Decreasing,Afrotropics,50 g,,,,,,,"Drakensberg Montane Grasslands, Woodlands And Forests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African blue flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514301,Elminia longicauda (African Blue Flycatcher) is a species of birds in the family Stenostiridae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,,flight,apatite,corneal eyes,Zambia,"savanna,terrestrial",Stable,Afrotropics,10.9 g,,,,,,Antiaris toxicaria (Pers.) Leschen. (False Mvule),,Staatliches Museum fuer Naturkund Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African blue tit,Animalia,Chordata,Aves,https://eol.org/pages/45515264,Cyanistes teneriffae (African Blue Tit) is a species of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Algeria,temperate,,,,,,,,,Asparagus plocamoides Webb ex Svent.,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African broadbill,Animalia,Chordata,Aves,https://eol.org/pages/45515110,Smithornis capensis (African Broadbill) is a species of birds in the family broadbills. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Mozambique Channel,terrestrial,Decreasing,Afrotropics,28.5 g,,,,,,,Guinean Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African citril,Animalia,Chordata,Aves,https://eol.org/pages/45515713,Crithagra citrinelloides (African Citril) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Ethiopia,"scrubland,terrestrial",Stable,,,,,,,,Bidens pilosa L. (hairy beggarticks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African collared dove,Animalia,Chordata,Aves,https://eol.org/pages/45509393,Streptopelia roseogrisea (African Collared Dove) is a species of birds in the family Columbidae. They are native to Ethiopia. They are herbivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,,,,,flight,,,United States,,Stable,the palearctic,,,,granivore,,,,,NHMUK,bilaterally symmetric,mollusks,monogamous,Ethiopia,no parental care,group living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African crake,Animalia,Chordata,Aves,https://eol.org/pages/45513913,Crex egregia (African Crake) is a species of birds in the family rails. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,South Atlantic,"desert,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rallicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/1047920,Aviceda cuculoides (African Cuckoo Falcon) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,Mozambique,"freshwater,freshwater habitat",Stable,Afrotropics,302 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African cuckoohawk,Animalia,Chordata,Aves,https://eol.org/pages/1047920,Aviceda cuculoides (African Cuckoo Falcon) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,Mozambique,"freshwater,freshwater habitat",Stable,Afrotropics,302 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,African darter,Animalia,Chordata,Aves,https://eol.org/pages/45513859,Anhinga rufa (African Darter) is a species of birds in the family Anhingidae. They are found in the palearctic and Afrotropics. They rely on flight to move around.,tympanic middle ear,,nectonic,,20 dB,flight,apatite,corneal eyes,United States,"lake,marine",Decreasing,the palearctic,,,,,,,Parauchenoglanis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
