Gabela helmetshrike
Gabon batis
Gabon coucal
Gabon woodpecker
Gadwall
Galah
Galapagos crake
Galapagos flycatcher
Galapagos hawk
Galapagos penguin
Galápagos dove
Galápagos martin
Galápagos mockingbird
Galápagos petrel
Galápagos shearwater
Gambaga flycatcher
Gambel's quail
Gang-gang cockatoo
Gansu leaf warbler
Garden emerald
Garden warbler
Garganey
Garnet pitta
Garnet robin
Garnet-throated hummingbird
Garrett's reed warbler
Gartered trogon
Geelvink pygmy parrot
Genovesa cactus finch
Genovesa ground finch
Gentoo penguin
Geoffroy's daggerbill
Geomalia
Germain's peacock-pheasant
Germain's swiftlet
Giant antpitta
Giant antshrike
Giant babax
Giant conebill
Giant coot
Giant coua
Giant cowbird
Giant honeyeater
Giant hummingbird
Giant ibis
Giant kingbird
Giant kingfisher
Giant laughingthrush
Giant nuthatch
Giant pitta
Giant scops owl
Giant snipe
Giant sunbird
Giant swiftlet
Giant weaver
Giant white-eye
Giant wood rail
Giant wren
Gibberbird
Gila woodpecker
Gilbert's honeyeater
Gilbert's whistler
Gilded barbet
Gilded flicker
Gilded sapphire
Gillett's lark
Gilliard's honeyeater
Gilt-edged tanager
Gizo white-eye
Glaucous gull
Glaucous macaw
Glaucous tanager
Glaucous-blue grosbeak
Glaucous-winged gull
Glistening-green tanager
Glittering kingfisher
Glittering-bellied emerald
Glittering-throated emerald
Glossy antshrike
Glossy black cockatoo
Glossy flowerpiercer
Glossy ibis
Glossy swiftlet
Glossy-backed becard
Glossy-backed drongo
Glossy-black thrush
Glossy-mantled manucode
Glowing puffleg
Glow-throated hummingbird
Godlewski's bunting
Goeldi's antbird
Gola malimbe
Goldcrest
Golden babbler
Golden bowerbird
Golden bush robin
Golden cuckooshrike
Golden eagle
Golden fruit dove
Golden greenbul
Golden grosbeak
Golden masked owl
Golden monarch
Golden myna
Golden nightjar
Golden palm weaver
Golden parakeet
Golden parrotbill
Golden pheasant
Golden pipit
Golden swallow
Golden tanager
Golden vireo
Golden white-eye
Golden-backed bishop
Golden-backed mountain tanager
Golden-backed weaver
Golden-backed whistler
Golden-bellied flycatcher
Golden-bellied flyrobin
Golden-bellied gerygone
Golden-bellied starfrontlet
Golden-bellied white-eye
Golden-billed saltator
Golden-breasted bunting
Golden-breasted fruiteater
Golden-breasted fulvetta
Golden-breasted puffleg
Golden-breasted starling
Golden-browed chat-tyrant
Golden-browed chlorophonia
Golden-browed warbler
Golden-capped parakeet
Golden-cheeked warbler
Golden-cheeked woodpecker
Golden-chested tanager
Golden-chevroned tanager
Golden-collared honeycreeper
Golden-collared macaw
Golden-collared manakin
Golden-collared tanager
Golden-collared toucanet
Golden-collared woodpecker
Golden-crested myna
Golden-crowned babbler
Golden-crowned emerald
Golden-crowned flycatcher
Golden-crowned kinglet
Golden-crowned manakin
Golden-crowned spadebill
Golden-crowned sparrow
Golden-crowned tanager
Golden-crowned warbler
Golden-eared tanager
Golden-eyed flowerpiercer
Goldenface
Golden-faced tyrannulet
Golden-fronted bowerbird
Golden-fronted fulvetta
Golden-fronted greenlet
Golden-fronted leafbird
Golden-fronted whitestart
Golden-fronted woodpecker
Golden-green woodpecker
Golden-headed cisticola
Golden-headed manakin
Golden-headed quetzal
Golden-hooded tanager
Golden-mantled racket-tail
Golden-naped barbet
Golden-naped finch
Golden-naped tanager
Golden-naped weaver
Golden-naped woodpecker
Golden-olive woodpecker
Golden-plumed parakeet
Golden-rumped euphonia
Golden-rumped flowerpecker
Golden-shouldered parrot
Golden-sided euphonia
Golden-spangled piculet
Golden-spotted ground dove
Golden-tailed parrotlet
Golden-tailed sapphire
Golden-tailed woodpecker
Golden-throated barbet
Golden-tufted mountain grackle
Golden-whiskered barbet
Golden-winged cacique
Golden-winged laughingthrush
Golden-winged manakin
Golden-winged parakeet
Golden-winged sparrow
Golden-winged sunbird
Golden-winged tody-flycatcher
Golden-winged warbler
Goldie's bird-of-paradise
Goldie's lorikeet
Goldman's warbler
Gold-ringed tanager
Goliath coucal
Goliath heron
Goliath imperial pigeon
Gorgeous bushshrike
Gorgeted puffleg
Gorgeted sunangel
Gorgeted wood quail
Gorgeted woodstar
Gosling's apalis
Gosling's bunting
Gough finch
Gough moorhen
Gouldian finch
Gould's emerald
Gould's frogmouth
Gould's jewelfront
Gould's nightingale-thrush
Gould's petrel
Gould's shortwing
Gould's toucanet
Graceful honeyeater
Graceful pitta
Graceful prinia
Grace's warbler
Gran Canaria blue chaffinch
Grand Cayman thrush
Grand Comoro brush warbler
Grand Comoro bulbul
Grand Comoro drongo
Grand rhabdornis
Grandala
Grant's bluebill
Grant's wood hoopoe
Grass wren
Grass-green tanager
Gray catbird
Great Inca finch
Great Indian bustard
Great Nicobar serpent eagle
Great auk
Great blue heron
Great bustard
Great cormorant
Great crested flycatcher
Great crested grebe
Great cuckoo-dove
Great curassow
Great dusky swift
Great eared nightjar
Great egret
Great elaenia
Great frigatebird
Great grebe
Great green macaw
Great grey owl
Great grey shrike
Great hanging parrot
Great hornbill
Great horned owl
Great iora
Great jacamar
Great kiskadee
Great knot
Great lizard cuckoo
Great myna
Great parrotbill
Great potoo
Great reed warbler
Great rosefinch
Great rufous woodcreeper
Great sapphirewing
